signo_id ;numero_semana;mensagem
Libra;12;Você ama agradar. Só cuidado pra não dar o que você queria receber.
Libra;13;Essa semana: presente que evite conflitos. Ou seja, agrada a todos.
Libra;14;Libriane, você daria um espelho. Mas de bom gosto, é claro.
Libra;15;Você busca justiça até no laço do presente. Tudo precisa estar certo.
Libra;16;Presenteie com algo que a pessoa possa usar e postar. Ideal.
Libra;17;Você demora pra escolher, mas o presente sempre tem classe.
Libra;18;Essa semana: presente charmoso, leve e que combine com a aura do ambiente.
Libra;19;Libriano entrega presente com charme e meia pose de novela.
Libra;20;Essa semana: presente com beleza, leveza e uma pitada de indecisão.
Libra;21;Você valoriza o estilo. Mesmo que seja só na fita do presente.
Libra;22;Dê algo que não gere discussões. Ou seja, fones de ouvido talvez.
Libra;23;Se o presente não combinar com o tapete da sala, talvez você repense.
Libra;24;Libriane, cuidado: equilibrar a estética com a utilidade pode te consumir.
Libra;25;Essa semana: presente delicado e cheio de intenção.
Libra;26;O presente ideal: algo que cause um “uau!” sem exageros.
Libra;27;Você presentearia com uma flor e um poema, ainda tiraria uma foto boa disso.
Libra;28;Dê algo que mantenha a paz, mas que brilhe levemente.
Libra;29;Libriano gosta de beleza. Que tal um livro com capa ilustrada e bem diagramada?
Libra;30;Essa semana: evite escolher o presente só porque o atendente disse que era bonito.
Libra;31;Dica: use sua indecisão como filtro. Se algo te encanta, vai funcionar.
Libra;32;Essa semana, vá com calma. Mas vá com estilo.
Libra;33;Libriano presentearia com incenso, café especial e uma playlist lo-fi.
Libra;34;Equilíbrio é tudo. Até no cartão do presente.
Libra;35;Essa semana, o presente ideal tem que combinar com a vibe do dia.
Libra;36;Um livro de arte, uma planta estilosa… seu gosto é fino.
Libra;37;Libriano, fuja do presente genérico. Seu charme merece mais.
Libra;38;Um presente seu pode ser simples. Desde que seja lindo.
Libra;39;Libriano daria um presente que só existe em tons neutros.
Libra;40;Você leva o presente como se fosse um desfile. E tudo bem.
Libra;41;Essa semana, um presente que agrade visualmente já é meio caminho andado.
Libra;42;Você quer que o presente tenha beleza, e que faça sentido. Isso é Libra.
Libra;43;Dê algo que provoque sorriso… e um “ai, que lindo!” automático.
Libra;44;Dica: se a embalagem já for um evento, melhor ainda.
Libra;45;Libriano ama mimos. E ama dar também.
Libra;46;Um presente que diga “equilíbrio com charme” tem sua assinatura.
Libra;47;Você pensa no look da entrega do presente. Ícone!
Libra;48;Essa semana, dê algo que brilhe… mas em tom pastel.
Libra;49;Libriano acerta porque pensa nos detalhes. O laço também conta.
Libra;50;Presente que combine com beleza e gentileza: sua vibe da semana.
Libra;51;Um toque de luxo? Sim. Mas com elegância, como só Libra faz.
Libra;52;Seu presente final do ano: algo lindo, equilibrado e com um “uau!” no fim.
Áries;1;Você já pensou em dar o presente, comprou, embrulhou… agora respira antes de entregar gritando.
Áries;2;Essa semana, tente não competir com o próprio presente. Ele pode ser o protagonista, tá?
Áries;3;Evite comprar no impulso. Respira, pensa. Ou pelo menos tenta.
Áries;4;Dê o presente antes que você perca a paciência com quem ainda não agradeceu.
Áries;5;Seu lema: presente bom é presente rápido. Mas respira antes de correr pra loja.
Áries;6;Essa semana, controle o ímpeto de dar spoiler do presente antes da entrega.
Áries;7;Áries presenteia com entusiasmo. Só lembra de não atropelar a emoção do outro.
Áries;8;Presenteie como quem inicia uma missão. Só tente não militar sobre ela.
Áries;9;Você já quis presentear e acabou organizando o evento inteiro. Clássico.
Áries;10;Dica da semana: evite presentes que exijam paciência para montar.
Áries;11;Essa semana, pense no presente como uma surpresa, não como uma competição.
Áries;12;Seu estilo é intensidade. Que tal dar um presente que diga ‘impacto’ sem dizer ‘socorro’?
Áries;13;Presentes de aventura combinam com você. Só cuidado pra não empolgar demais.
Áries;14;Você quer ver reação na hora. Mas lembre-se: nem todo mundo reage gritando.
Áries;15;Essa semana: evite presentes com chance de causar lesões emocionais ou físicas.
Áries;16;Um presente com energia e atitude. Isso é 100% ariano.
Áries;17;Você entrega o presente como se fosse uma bomba de emoção. Respira e vai.
Áries;18;Evite presentes delicados. Você pode se empolgar e quebrar antes da entrega.
Áries;19;Seu ritmo é acelerado. Mas escolha o presente com pelo menos 5 segundos de calma.
Áries;20;Essa semana, canalize sua energia em algo criativo e significativo.
Áries;21;Atenção: não é porque a pessoa demorou a reagir que o presente falhou.
Áries;22;Evite assumir que o presente tem que mudar a vida da pessoa. Um mimo também vale.
Áries;23;Você curte praticidade. Que tal algo simples, direto e com seu jeitão sincero?
Áries;24;Essa semana: escolha com impulso, mas finalize com intenção.
Áries;25;Você tem pressa de acertar. Mas o carinho mora no detalhe.
Áries;26;Dê algo que traga movimento, mas também toque o coração.
Áries;27;Seu presente pode vir com adrenalina, mas tente colocar um laço junto.
Áries;28;Evite dar algo que exige calma pra entender. A menos que venha com manual e cronômetro.
Áries;29;Essa semana, experimente esperar a pessoa abrir antes de perguntar ‘e aí, gostou?!’.
Áries;30;Você daria um presente esportivo, radical… ou um megafone. Atenção ao contexto!
Áries;31;Você é direto. Que tal um presente que fale por você com intensidade e leveza?
Áries;32;Essa semana, dê um presente que acenda o fogo certo. Não o incêndio.
Áries;33;Aposte em algo ousado. Mas que não exploda (literalmente).
Áries;34;Você não enrola. E o presente ideal acompanha esse ritmo.
Áries;35;Evite dar presentes que durem pouco. A memória do gesto deve ficar.
Áries;36;Essa semana, dê o tipo de presente que deixa uma impressão forte (sem soco).
Áries;37;Você não tem paciência pra filas. Que tal um presente que chegue rápido também?
Áries;38;Presentear é como batalha: você quer vencer. Mas dessa vez, pense em encantar.
Áries;39;Seu presente sempre carrega energia. Que tal transformar isso em surpresa boa?
Áries;40;Essa semana, dê um presente com coragem, mas sem gritar ‘vai, abre logo!’.
Áries;41;Evite tentar resolver tudo com um presente. Mas que ele diga muita coisa, sim.
Áries;42;Você dá presente como quem entrega uma missão secreta. Cuidado com a intensidade.
Áries;43;Essa semana: presente que diga ‘te vi, te senti, te admirei’.
Áries;44;Você escolhe rápido. Mas às vezes, parar 2 minutos muda tudo.
Áries;45;Dê um presente que reflita sua força, e seu carinho também.
Áries;46;Evite presentes genéricos. Você é 100% personalidade.
Áries;47;Essa semana: escolha algo tão memorável quanto sua chegada nos lugares.
Áries;48;Presenteie com o coração quente, não com a pressa. Ou pelo menos tente equilibrar.
Áries;49;Você quer reação. Mas o presente também pode ser silencioso e marcante.
Áries;50;Dê algo que surpreenda… sem assustar.
Áries;51;Essa semana: um presente com sua energia, mas o toque suave do afeto.
Áries;52;Você é ação. Dê um presente que também fale de presença.
Peixes;1;Essa semana, presenteie com poesia, sentimento e talvez um pouco de glitter.
Peixes;2;Você vai sonhar com o presente antes de dar. E tudo bem, acontece com piscianos.
Peixes;3;Evite presentes muito práticos. Você veio pra emocionar, não pra organizar a casa alheia.
Peixes;4;Dê algo simbólico. E coloque um bilhete fofo junto. Porque claro que sim.
Peixes;5;Você presenteia como quem oferece um pedaço da alma. Drama? Só um pouco.
Peixes;6;Essa semana, escute sua intuição. Ela já sabe o presente certo.
Peixes;7;Presentes feitos à mão, com carinho e cola quente? Total pisciano vibes.
Peixes;8;Evite presentes com muitos números. Você trabalha melhor com sentimentos.
Peixes;9;Dê um presente que abrace, mesmo que não seja um abraço literal.
Peixes;10;Você tem o dom de transformar um presente simples em gesto eterno.
Peixes;11;Essa semana: presente com toque de fantasia. Tipo vela mágica ou diário encantado.
Peixes;12;Você daria um presente só pra ver o outro sorrir. Mesmo sem data especial.
Peixes;13;Dê algo que desperte a criança sensível e criativa dentro da pessoa.
Peixes;14;Evite presentes burocráticos. Piscianos e papelada não combinam.
Peixes;15;Essa semana, siga seu coração na loja. Só tenta não se perder no caminho.
Peixes;16;Dê um presente que conte uma história. Inventada, se precisar.
Peixes;17;Você é o tipo que faz presente com trilha sonora. E tudo combina.
Peixes;18;Seu presente pode parecer simples… até a pessoa abrir e se emocionar.
Peixes;19;Essa semana: presenteie com sensibilidade e, se possível, purpurina.
Peixes;20;Evite dar algo seco demais. Pisciano curte charme, detalhe e emoção.
Peixes;21;Você dá presente como quem oferece colo. E às vezes, choro junto.
Peixes;22;Dica: escolha um presente que toque mais o coração do que o bolso.
Peixes;23;Essa semana, um presente com cheiro, textura e boas lembranças funciona bem.
Peixes;24;Você vive o momento da entrega como se fosse uma cena de filme.
Peixes;25;Evite presentes que precisem de senha. A não ser que venha com mensagem oculta.
Peixes;26;Dê algo que inspire sonhos. Ou pelo menos um cochilo gostoso.
Peixes;27;Você sente a vibe do presente. Mas tenta lembrar de embalar também, tá?
Peixes;28;Essa semana, o presente pode ser uma carta, um desenho ou uma playlist sincera.
Peixes;29;Você entrega o presente com olhos marejados. E isso é bonito.
Peixes;30;Evite dar algo só porque ‘tem que dar’. Você é emoção, não protocolo.
Peixes;31;Dê um presente que diga ‘te vi com o coração’.
Peixes;32;Essa semana: dê algo que pareça abraço em forma de objeto.
Peixes;33;Você é criativo. O presente pode ser um experimento emocional (e seguro).
Peixes;34;Evite presentes barulhentos demais. Piscianos gostam de suavidade.
Peixes;35;Dica: presente artístico + bilhete sincero = sucesso pisciano.
Peixes;36;Essa semana, inspire-se em filmes, músicas ou sonhos. Tudo vira presente com você.
Peixes;37;Você daria um origami com dedicatória. E funcionaria.
Peixes;38;Evite dar algo impessoal. Piscianos sentem tudo, até a falta de afeto no laço.
Peixes;39;Essa semana: presente que toque fundo, sem precisar de manual.
Peixes;40;Você poderia fazer o presente, a embalagem e ainda chorar na entrega.
Peixes;41;Dê algo que sirva mais pro coração que pro status.
Peixes;42;Evite presentes muito quadrados. Piscianos gostam de curvas e poesia.
Peixes;43;Essa semana, se der vontade de escrever um poema junto, escreva!
Peixes;44;Você tem o dom de transformar um sabonete em gesto inesquecível.
Peixes;45;Dê algo que diga ‘lembrei de você’ sem nem precisar dizer.
Peixes;46;Essa semana: presente com magia, ou pelo menos com essência boa.
Peixes;47;Você escolhe com alma, entrega com emoção, e torce pra pessoa entender. Ela vai.
Peixes;48;Evite dar algo genérico. Você não é disso. Giviti sabe.
Peixes;49;Dê algo simbólico, mesmo que seja só um botão colorido com história.
Peixes;50;Essa semana, presenteie como quem compartilha um pedaço do próprio sonho.
Peixes;51;Você não dá presente. Você emociona com embrulho e tudo.
Peixes;52;No fim, a intenção é o que vale. Mas seu presente vai além dela.
Gêmeos;1;Essa semana: escolha um presente antes de mudar de ideia (de novo).
Gêmeos;2;Dê um presente que venha com conversa incluída. Você adora uma conexão.
Gêmeos;3;Se tiver dúvida, dê dois presentes. Ou um multifuncional.
Gêmeos;4;Evite presentes que exigem foco prolongado. Gêmeos vive entre abas.
Gêmeos;5;Dê algo que conte uma história boa. Ou que sirva pra começar uma.
Gêmeos;6;Seu presente é bom. Sua explicação sobre ele, melhor ainda.
Gêmeos;7;Essa semana, evite presentes que exijam silêncio.
Gêmeos;8;Dê um presente leve, divertido e com potencial de virar meme.
Gêmeos;9;Se for útil e engraçado, gêmeos aprova. Se for fofo e aleatório, também.
Gêmeos;10;Você pode dar um presente e mudar de ideia antes da entrega. Gêmeos é assim.
Gêmeos;11;Dê algo que gere assunto. Um presente que comece uma conversa.
Gêmeos;12;Se você se empolgou e comprou mais do que precisava, relaxa. Virou kit!
Gêmeos;13;Essa semana: presenteie com leveza. Sem precisar de lógica demais.
Gêmeos;14;Você escolhe o presente e já está pensando na próxima conversa sobre ele.
Gêmeos;15;Presente de gêmeos tem efeito colateral: risadas ou longas histórias.
Gêmeos;16;Essa semana, evite presentes muito sérios. O mundo já tem seriedade demais.
Gêmeos;17;Dica: você pode criar uma playlist junto com o presente. Multimídia e afeto.
Gêmeos;18;Presente ideal: criativo, versátil e com um pouco de caos bom.
Gêmeos;19;Gêmeos pode esquecer de embalar. Mas nunca esquece de conversar depois.
Gêmeos;20;Dê algo que provoque: “mas o que será que ele(a) quis dizer com isso?”.
Gêmeos;21;Essa semana: escolha algo que divirta e funcione. Duas coisas é o mínimo.
Gêmeos;22;Evite presentes com manual de instrução. Você não vai ler, admita.
Gêmeos;23;Gêmeos presenteia como quem abre um novo episódio da vida.
Gêmeos;24;Essa semana, o presente pode ser divertido, estranho e útil. Tudo ao mesmo tempo.
Gêmeos;25;Dê algo que a pessoa nem sabia que precisava. E depois conte uma teoria sobre.
Gêmeos;26;Você presenteia como quem lança uma ideia pro universo. E vê no que dá.
Gêmeos;27;Presenteie com humor e leveza. E se não der certo, conta como piada.
Gêmeos;28;Dica: personalize. Nem que seja com uma piadinha interna.
Gêmeos;29;Essa semana: presente com múltiplas funções. Ou múltiplas interpretações.
Gêmeos;30;Você pode mudar de ideia no caixa. Mas o importante é dar com intenção.
Gêmeos;31;Seu presente pode virar tópico de grupo. E isso é um elogio.
Gêmeos;32;Gêmeos não dá presente. Ele cria experiências comentáveis.
Gêmeos;33;Dê um presente e já comece a planejar outro. É seu jeitinho.
Gêmeos;34;Essa semana: presente que seja versátil. Como você.
Gêmeos;35;Seu presente pode vir com meme incluso. Melhor ainda.
Gêmeos;36;Dê algo que sirva pra hoje e mude amanhã. Adaptável, como geminiano.
Gêmeos;37;Evite presentes silenciosos. Os seus falam (às vezes demais).
Gêmeos;38;Essa semana: presente com curiosidade embutida. Pra gerar assunto.
Gêmeos;39;Gêmeos é múltiplo. Dê algo que represente isso: várias opções, um gesto só.
Gêmeos;40;Dica: um jogo, um quebra-cabeça ou algo que gere conversa. Sucesso garantido.
Gêmeos;41;Você é rápido. Mas lembre-se: pensar 5 segundos a mais pode melhorar tudo.
Gêmeos;42;Essa semana: evite o tédio. Dê algo que mova a conversa e o coração.
Gêmeos;43;Gêmeos ama novidade. Mas lembre-se: o clássico bem usado também funciona.
Gêmeos;44;Seu presente pode parecer aleatório. Mas sempre tem contexto.
Gêmeos;45;Dê algo que dê assunto. Depois, fale mais que o presente.
Gêmeos;46;Essa semana: pense rápido, mas sinta fundo.
Gêmeos;47;Você pode presentear com surpresa, ironia e sinceridade. Sim, tudo junto.
Gêmeos;48;Dica: evite o excesso de ideias. Escolha uma. Entregue bem.
Gêmeos;49;Seu presente pode ser um quebra-cabeça, uma história, um “o que será que quis dizer?”
Gêmeos;50;Essa semana: aposte na leveza. De humor, de entrega, de presente.
Gêmeos;51;Gêmeos entrega com fala, com charme e com um “mas tem uma história…”
Gêmeos;52;Presenteie como quem muda o dia da pessoa com uma boa ideia.
Câncer;1;Você já chorou pensando no presente? Normal. A gente te entende.
Câncer;2;Um presente feito com carinho e lembrança vale mais que mil likes.
Câncer;3;Essa semana: presenteie com afeto. E se puder, com abraço incluso.
Câncer;4;Você dá presente como quem entrega um pedaço da história de vocês.
Câncer;5;Essa semana: dê algo que diga “lembrei de você antes de todo mundo.”
Câncer;6;Câncer presenteia com emoção. E talvez um pouquinho de exagero dramático.
Câncer;7;Dica: carta escrita à mão + mimo simples = combinação infalível pra canceriane.
Câncer;8;Presenteie com memória. Tipo aquele lugar que vocês foram, ou gostariam de ir.
Câncer;9;Cuidado: o presente precisa ser sincero. Canceriano sente de longe o “por obrigação.”
Câncer;10;Essa semana: um presente que diga “você é importante pra mim” sem precisar dizer.
Câncer;11;Você dá presente como quem oferece colo. E talvez um potinho de doce caseiro.
Câncer;12;Dica: um álbum de memórias, mesmo pequeno, pode emocionar como ninguém.
Câncer;13;Canceriane, presente é emoção. Mesmo que seja só um biscoito com recado.
Câncer;14;Dê algo que tenha valor emocional. Nem que seja uma pedrinha com significado.
Câncer;15;Evite presentes frios ou impessoais. O coração canceriano pede mais.
Câncer;16;Dê algo que pareça um lar portátil: quentinho, acolhedor e com cheirinho bom.
Câncer;17;Canceriano dá presente pensando no passado, presente e futuro. Em ordem emocional.
Câncer;18;Essa semana, presenteie com o que toca, não o que impressiona.
Câncer;19;Se o presente for simples, que seja entregue com carinho dobrado.
Câncer;20;Canceriane: um presente pode ser só um presente, mas o seu nunca é.
Câncer;21;Um presente que diga “cuide-se” já fala muito.
Câncer;22;Essa semana: dê algo que seja como um abraço, mesmo virtual.
Câncer;23;Você valoriza as datas. E um presente bem entregue vira ritual.
Câncer;24;Presente perfeito? Algo que remeta à infância ou a algo que aquece a alma.
