ID,Módulo,Funcionalidade,Caso de Teste,Pré-condições,Passos,Resultado Esperado,Tipo,Criticidade,Prioridade
AUTH-011,Autenticação,Registro,Registro com Passe VIP inválido,Nenhum passe com código informado,"1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Digitar Passe VIP ""INVALIDO"" 4. Preencher demais campos 5. Clicar ""Criar Conta""","Mensagem de erro ""Passe VIP inválido ou expirado""",Negativo,Crítica,Alta
AUTH-012,Autenticação,Registro,Registro com Passe VIP inativo,"Passe VIP ""INATIVO2024"" existe mas está desativado","1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Digitar Passe VIP ""INATIVO2024"" 4. Preencher demais campos 5. Clicar ""Criar Conta""","Mensagem de erro ""Passe VIP inválido ou expirado""",Negativo,Crítica,Alta
AUTH-013,Autenticação,Registro,Registro com Passe VIP esgotado,"Passe VIP ""ESGOTADO"" com maxAccounts=2 e usedAccounts=2","1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Digitar Passe VIP ""ESGOTADO"" 4. Preencher demais campos 5. Clicar ""Criar Conta""","Mensagem de erro ""Este passe VIP já atingiu o limite de contas""",Negativo,Crítica,Alta
AUTH-014,Autenticação,Registro,Registro com email já cadastrado,"Email ""existente@email.com"" já possui conta","1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Digitar Passe VIP válido 4. Digitar email ""existente@email.com"" 5. Clicar ""Criar Conta""","Mensagem de erro ""Este e-mail já está cadastrado""",Negativo,Crítica,Alta
AUTH-015,Autenticação,Registro,Registro com senha menor que 6 caracteres,Passe VIP válido,"1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Digitar Passe VIP válido 4. Digitar senha ""12345"" (5 chars) 5. Clicar ""Criar Conta""","Validação exibe ""Senha deve ter no mínimo 6 caracteres""",Negativo,Alta,Alta
AUTH-016,Autenticação,Registro,Registro com nome vazio,Passe VIP válido,"1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Deixar nome vazio 4. Preencher demais campos 5. Clicar ""Criar Conta""","Validação exibe ""Nome é obrigatório""",Negativo,Alta,Alta
AUTH-016B,Autenticação,Registro,Registro com email vazio,Passe VIP válido,"1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Deixar email vazio 4. Preencher demais campos 5. Clicar ""Criar Conta""","Validação exibe ""E-mail é obrigatório""",Negativo,Alta,Alta
AUTH-017,Autenticação,Registro,Registro com Passe VIP em minúsculas,"Passe VIP ""TESTE2024"" cadastrado","1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Digitar ""teste2024"" em minúsculas 4. Preencher demais campos 5. Clicar ""Criar Conta""",Sistema aceita e converte para maiúsculas. Registro bem-sucedido,Positivo,Média,Média
AUTH-018,Autenticação,Registro,Toggle de visibilidade de senha no registro,Passe VIP válido,"1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Digitar senha ""123456"" 4. Clicar no ícone de olho","Senha exibida em texto claro. Ícone muda para olho fechado. Campo confirmar senha também alterna",Positivo,Média,Média
AUTH-019,Autenticação,Registro via Convite,Registro com token de convite válido,"Convite enviado para ""convidado@email.com"" para evento colaborativo","1. Acessar link do convite 2. Preencher dados (nome, senha) 3. Clicar ""Criar Conta""","Conta criada sem necessidade de Passe VIP. Usuário vinculado ao evento colaborativo",Positivo,Crítica,Alta
AUTH-020,Autenticação,Registro via Convite,Registro com email diferente do convite,"Convite enviado para ""convidado@email.com""","1. Acessar link do convite 2. Tentar usar email ""outro@email.com"" 3. Clicar ""Criar Conta""","Mensagem de erro ""O email deve corresponder ao do convite""",Negativo,Alta,Alta
AUTH-021,Autenticação,Recuperar Senha,Solicitar link com email válido,"Usuário cadastrado com email ""teste@email.com""","1. Acessar página inicial 2. Clicar ""Esqueci minha senha"" 3. Digitar email ""teste@email.com"" 4. Clicar ""Enviar link""","Mensagem ""Link enviado para seu e-mail"". Email recebido com link de recuperação",Positivo,Crítica,Alta
AUTH-022,Autenticação,Recuperar Senha,Solicitar link com email inexistente,Nenhum usuário com email informado,"1. Acessar página inicial 2. Clicar ""Esqueci minha senha"" 3. Digitar email ""naoexiste@email.com"" 4. Clicar ""Enviar link""","Mensagem genérica ""Se o e-mail estiver cadastrado, você receberá um link""",Positivo,Alta,Alta
AUTH-023,Autenticação,Recuperar Senha,Redefinir senha com link válido,Link de recuperação gerado há menos de 1 hora,"1. Clicar no link recebido por email 2. Digitar nova senha ""novaSenha123"" 3. Confirmar nova senha 4. Clicar ""Redefinir""",Senha alterada com sucesso. Redirecionado para login,Positivo,Crítica,Alta
AUTH-024,Autenticação,Recuperar Senha,Redefinir senha com link expirado,Link de recuperação gerado há mais de 1 hora,1. Clicar no link expirado 2. Tentar redefinir senha,"Mensagem de erro ""Link expirado. Solicite um novo link""",Negativo,Alta,Alta
AUTH-025,Autenticação,Recuperar Senha,Redefinir senha com token inválido,URL com token alterado manualmente,1. Acessar URL com token inválido 2. Tentar redefinir senha,"Mensagem de erro ""Token inválido""",Negativo,Alta,Alta
AUTH-026,Autenticação,Recuperar Senha,Senhas não coincidem,Link válido,"1. Clicar link válido 2. Digitar senha ""senha123"" 3. Confirmar senha ""senha456"" 4. Clicar ""Redefinir""","Validação exibe ""As senhas não coincidem""",Negativo,Alta,Alta
AUTH-027,Autenticação,Recuperar Senha,Usar link já utilizado,Link de recuperação já usado para redefinir,1. Clicar em link já utilizado 2. Tentar redefinir senha,"Mensagem de erro ""Este link já foi utilizado""",Negativo,Alta,Alta
AUTH-028,Autenticação,Lista de Espera,Inscrever-se na lista de espera,Nenhuma inscrição prévia com mesmo email,"1. Acessar página inicial 2. Clicar ""Entrar na Lista de Espera"" 3. Preencher nome e email 4. Clicar ""Inscrever-se""","Mensagem de sucesso ""Inscrição realizada"". Email na lista com status ""pending""",Positivo,Alta,Alta
AUTH-029,Autenticação,Lista de Espera,Inscrever-se com email já na lista,Email já cadastrado na lista de espera,"1. Acessar página inicial 2. Clicar ""Entrar na Lista de Espera"" 3. Digitar email já inscrito 4. Clicar ""Inscrever-se""","Mensagem de erro ""Este e-mail já está na lista de espera""",Negativo,Média,Média
AUTH-030,Autenticação,Lista de Espera,Inscrever-se com email de usuário existente,Email já possui conta no sistema,"1. Acessar página inicial 2. Clicar ""Entrar na Lista de Espera"" 3. Digitar email de usuário cadastrado 4. Clicar ""Inscrever-se""","Mensagem de erro ""Este e-mail já possui uma conta. Faça login""",Negativo,Média,Média
AUTH-031,Autenticação,Logout,Realizar logout,Usuário logado,"1. Clicar no avatar/nome do usuário 2. Clicar ""Sair""",Sessão encerrada. Redirecionado para página inicial,Positivo,Alta,Alta
AUTH-032,Autenticação,Logout,Tentar acessar área restrita após logout,Usuário fez logout,1. Fazer logout 2. Tentar acessar /dashboard diretamente,Redirecionado para página de login,Positivo,Alta,Alta
NAV-001,Navegação,Menu Principal,Verificar labels do menu,Usuário logado,1. Observar menu de navegação principal,"Menu exibe: Início, Pessoas, Datas, Planeje seu rolê",Positivo,Alta,Alta
NAV-002,Navegação,Menu Principal,Navegar para Início,Usuário logado,"1. Clicar em ""Início""",Página Início carregada com estatísticas e eventos próximos,Positivo,Alta,Alta
NAV-003,Navegação,Menu Principal,Navegar para Pessoas,Usuário logado,"1. Clicar em ""Pessoas""",Página Pessoas carregada com lista de destinatários,Positivo,Alta,Alta
NAV-004,Navegação,Menu Principal,Navegar para Datas,Usuário logado,"1. Clicar em ""Datas""",Página Datas carregada com lista de eventos,Positivo,Alta,Alta
NAV-005,Navegação,Menu Principal,Navegar para Planeje seu rolê,Usuário logado,"1. Clicar em ""Planeje seu rolê""",Página de eventos colaborativos carregada,Positivo,Alta,Alta
INICIO-001,Início,Estatísticas,Visualizar estatísticas,Usuário logado com pessoas e eventos cadastrados,1. Acessar Início,"Exibe cards com: número de pessoas, eventos próximos, presentes comprados",Positivo,Média,Média
INICIO-002,Início,Estatísticas,Início vazio (novo usuário),Usuário recém-cadastrado sem dados,1. Acessar Início,Exibe mensagem de boas-vindas e botões para adicionar pessoa,Positivo,Média,Média
INICIO-003,Início,Eventos,Exibir eventos próximos,Usuário com eventos nos próximos 30 dias,1. Acessar Início,Lista de eventos próximos exibida em ordem cronológica,Positivo,Média,Média
INICIO-004,Início,Horóscopo,Exibir horóscopo semanal,Usuário com data de nascimento configurada no perfil,1. Acessar Início,Seção de horóscopo exibe mensagem personalizada para o signo (calculado automaticamente),Positivo,Baixa,Baixa
INICIO-005,Início,Horóscopo,Horóscopo sem data de nascimento,Usuário sem data de nascimento no perfil,1. Acessar Início,Seção de horóscopo não exibida ou mostra convite para configurar data de nascimento,Positivo,Baixa,Baixa
INICIO-006,Início,Navegação,Acessar Pessoas pelo Início,Usuário logado,"1. Acessar Início 2. Clicar botão ""Adicionar Pessoa""",Redirecionado para página de Pessoas,Positivo,Média,Média
PESS-001,Pessoas,Criar,Criar pessoa com dados obrigatórios,Usuário logado,"1. Acessar Pessoas 2. Clicar ""Nova Pessoa"" 3. Preencher nome, idade, gênero, relacionamento 4. Clicar ""Salvar""",Pessoa criada e exibida na lista,Positivo,Alta,Alta
PESS-002,Pessoas,Criar,Criar pessoa com todos os campos,Usuário logado,"1. Acessar Pessoas 2. Clicar ""Nova Pessoa"" 3. Preencher: nome, idade, gênero, relacionamento, interesses (máx 3), email, localização 4. Clicar ""Salvar""",Pessoa criada com todos os dados salvos corretamente,Positivo,Alta,Alta
PESS-003,Pessoas,Criar,Criar pessoa sem nome,Usuário logado,"1. Acessar Pessoas 2. Clicar ""Nova Pessoa"" 3. Deixar nome vazio 4. Clicar ""Salvar""","Validação exibe ""Nome é obrigatório""",Negativo,Alta,Alta
PESS-004,Pessoas,Criar,Criar pessoa sem idade,Usuário logado,"1. Acessar Pessoas 2. Clicar ""Nova Pessoa"" 3. Preencher nome 4. Deixar idade vazia 5. Clicar ""Salvar""","Validação exibe ""Idade é obrigatória""",Negativo,Alta,Alta
PESS-005,Pessoas,Criar,Criar pessoa sem gênero,Usuário logado,"1. Acessar Pessoas 2. Clicar ""Nova Pessoa"" 3. Preencher nome e idade 4. Não selecionar gênero 5. Clicar ""Salvar""","Validação exibe ""Gênero é obrigatório""",Negativo,Alta,Alta
PESS-006,Pessoas,Criar,Criar pessoa com idade inválida,Usuário logado,"1. Acessar Pessoas 2. Clicar ""Nova Pessoa"" 3. Digitar idade ""-5"" ou ""200"" 4. Clicar ""Salvar""","Validação exibe ""Idade inválida""",Negativo,Média,Média
PESS-007,Pessoas,Criar,Criar pessoa com email inválido,Usuário logado,"1. Acessar Pessoas 2. Clicar ""Nova Pessoa"" 3. Digitar email ""emailinvalido"" 4. Clicar ""Salvar""","Validação exibe ""E-mail inválido""",Negativo,Média,Média
PESS-008,Pessoas,Criar,Criar múltiplas pessoas,Usuário logado,"1. Criar pessoa ""Maria"" 2. Criar pessoa ""João"" 3. Criar pessoa ""Ana""",Todas as pessoas aparecem na lista,Positivo,Alta,Alta
PESS-009,Pessoas,Interesses,Adicionar até 3 interesses,Usuário logado,"1. Acessar formulário de pessoa 2. Selecionar 3 interesses","Contador exibe ""3/3"". Não permite adicionar mais interesses",Positivo,Alta,Alta
PESS-010,Pessoas,Interesses,Tentar adicionar mais de 3 interesses,Usuário logado,1. Acessar formulário de pessoa 2. Selecionar 3 interesses 3. Tentar adicionar 4º interesse,"Sistema impede seleção. Contador permanece em ""3/3""",Negativo,Alta,Alta
PESS-011,Pessoas,Interesses,Visualizar contador de interesses,Usuário logado,1. Acessar formulário de pessoa 2. Selecionar 2 interesses,"Contador exibe ""2/3 interesses selecionados""",Positivo,Média,Média
PESS-012,Pessoas,Editar,Editar nome da pessoa,"Pessoa ""Maria"" existente","1. Acessar Pessoas 2. Clicar ícone editar no card ""Maria"" 3. Alterar nome para ""Maria Silva"" 4. Clicar ""Salvar""",Nome atualizado na lista e detalhes,Positivo,Alta,Alta
PESS-013,Pessoas,Editar,Editar interesses da pessoa,Pessoa existente,"1. Acessar Pessoas 2. Clicar editar 3. Adicionar/remover interesses (máx 3) 4. Clicar ""Salvar""",Interesses atualizados,Positivo,Alta,Alta
PESS-014,Pessoas,Editar,Cancelar edição,Pessoa existente,"1. Acessar Pessoas 2. Clicar editar 3. Alterar nome 4. Clicar ""Cancelar""",Alterações descartadas. Dados originais mantidos,Positivo,Média,Média
PESS-015,Pessoas,Excluir,Excluir pessoa sem eventos,Pessoa sem eventos associados,1. Acessar Pessoas 2. Clicar ícone lixeira 3. Confirmar exclusão,Pessoa removida da lista,Positivo,Alta,Alta
PESS-016,Pessoas,Excluir,Excluir pessoa com eventos,Pessoa com eventos associados,1. Acessar Pessoas 2. Clicar ícone lixeira 3. Confirmar exclusão,"Aviso sobre eventos associados. Após confirmar, pessoa e associações removidas",Positivo,Alta,Alta
PESS-017,Pessoas,Excluir,Cancelar exclusão,Pessoa existente,"1. Acessar Pessoas 2. Clicar ícone lixeira 3. Clicar ""Cancelar"" no diálogo",Pessoa mantida na lista,Positivo,Média,Média
PESS-018,Pessoas,Questionário,Preencher questionário completo,Pessoa existente,1. Acessar detalhes da pessoa 2. Preencher todas as perguntas do questionário 3. Salvar,Todas as respostas salvas,Positivo,Alta,Alta
PESS-019,Pessoas,Questionário,Preencher Presentes a Evitar,Pessoa existente,"1. Acessar questionário 2. Preencher campo ""Presentes a Evitar"" com ""perfume, meias"" 3. Salvar",Preferências salvas corretamente,Positivo,Alta,Alta
PESS-020,Pessoas,Questionário,Salvar questionário parcial,Pessoa existente,1. Acessar questionário 2. Preencher apenas algumas perguntas 3. Salvar,Respostas parciais salvas corretamente,Positivo,Média,Média
PESS-021,Pessoas,Vinculação,Vinculação automática ao criar conta,"Pessoa ""Maria"" com email ""maria@email.com"" cadastrada por outro usuário","1. Maria cria conta usando ""maria@email.com"" 2. Outro usuário acessa lista de pessoas",Ícone de vinculação aparece no card de Maria. Preferências sincronizadas,Positivo,Alta,Alta
PESS-022,Pessoas,Vinculação,Sincronização de preferências,Pessoa vinculada,1. Pessoa vinculada atualiza seu perfil 2. Usuário acessa pessoa,Preferências da pessoa refletem atualizações do perfil vinculado,Positivo,Alta,Alta
PESS-023,Pessoas,Vinculação,Visualizar indicador de perfil vinculado,Pessoa com email vinculado a conta ativa,1. Acessar lista de pessoas,Ícone especial visível ao lado do nome da pessoa vinculada,Positivo,Média,Média
DATAS-001,Datas,Criar,Criar evento com data futura,Pessoa existente,"1. Acessar Datas 2. Clicar ""Novo Evento"" 3. Preencher: nome, tipo, data futura, pessoa 4. Clicar ""Salvar""",Evento criado e exibido na lista,Positivo,Alta,Alta
DATAS-002,Datas,Criar,Criar evento com data de hoje,Pessoa existente,"1. Acessar Datas 2. Clicar ""Novo Evento"" 3. Selecionar data de hoje 4. Clicar ""Salvar""",Evento criado com sucesso,Positivo,Alta,Alta
DATAS-003,Datas,Criar,Criar evento com data passada,Pessoa existente,"1. Acessar Datas 2. Clicar ""Novo Evento"" 3. Selecionar data no passado 4. Clicar ""Salvar""","Validação exibe ""A data deve ser hoje ou no futuro""",Negativo,Alta,Alta
DATAS-004,Datas,Criar,Criar evento sem nome,Pessoa existente,"1. Acessar Datas 2. Clicar ""Novo Evento"" 3. Deixar nome vazio 4. Clicar ""Salvar""","Validação exibe ""Nome é obrigatório""",Negativo,Alta,Alta
DATAS-005,Datas,Criar,Criar evento sem pessoa,N/A,"1. Acessar Datas 2. Clicar ""Novo Evento"" 3. Não selecionar pessoa 4. Clicar ""Salvar""","Validação exibe ""Selecione ao menos uma pessoa""",Negativo,Alta,Alta
DATAS-006,Datas,Criar,Criar evento com múltiplas pessoas,Várias pessoas existentes,"1. Acessar Datas 2. Clicar ""Novo Evento"" 3. Selecionar 3 pessoas 4. Clicar ""Salvar""",Evento criado associado a todas as pessoas selecionadas,Positivo,Alta,Alta
DATAS-007,Datas,Tipos,Criar evento tipo Aniversário,Pessoa existente,"1. Criar evento selecionando tipo ""Aniversário""",Evento criado com tipo Aniversário. Ícone correspondente exibido,Positivo,Média,Média
DATAS-008,Datas,Tipos,Criar evento tipo Natal,Pessoa existente,"1. Criar evento selecionando tipo ""Natal""",Evento criado com tipo Natal,Positivo,Média,Média
DATAS-009,Datas,Tipos,Criar evento tipo Casamento,Pessoa existente,"1. Criar evento selecionando tipo ""Casamento""",Evento criado com tipo Casamento,Positivo,Média,Média
DATAS-010,Datas,Editar,Editar data do evento,Evento existente,1. Acessar Datas 2. Clicar editar evento 3. Alterar data 4. Salvar,Data atualizada no evento,Positivo,Alta,Alta
DATAS-011,Datas,Editar,Alterar pessoas do evento,Evento existente com 1 pessoa,1. Editar evento 2. Adicionar mais uma pessoa 3. Salvar,Evento associado a ambas as pessoas,Positivo,Alta,Alta
DATAS-012,Datas,Excluir,Excluir evento,Evento existente,1. Acessar Datas 2. Clicar excluir evento 3. Confirmar,Evento removido da lista,Positivo,Alta,Alta
DATAS-013,Datas,Arquivar,Arquivar evento passado,Evento com data no passado,"1. Acessar Datas 2. Localizar evento passado 3. Clicar ""Arquivar""","Evento movido para aba ""Arquivados""",Positivo,Alta,Alta
DATAS-014,Datas,Avançar,Avançar evento para próximo ano,Evento de aniversário com data passada,"1. Localizar evento passado 2. Clicar ""Avançar para Próximo Ano""",Data atualizada para mesmo dia/mês do próximo ano,Positivo,Alta,Alta
DATAS-015,Datas,Arquivados,Visualizar eventos arquivados,Eventos arquivados existentes,"1. Acessar Datas 2. Clicar aba ""Arquivados""",Lista de eventos arquivados exibida,Positivo,Média,Média
DATAS-016,Datas,Arquivados,Desarquivar evento,Evento arquivado,"1. Acessar aba ""Arquivados"" 2. Clicar ""Desarquivar"" no evento",Evento retorna para lista principal,Positivo,Média,Média
DATAS-017,Datas,Filtros,Filtrar por Este mês,Eventos em diferentes meses,"1. Acessar Datas 2. Selecionar filtro ""Este mês""",Apenas eventos do mês atual exibidos,Positivo,Média,Média
DATAS-018,Datas,Filtros,Filtrar por Próximos 3 meses,Eventos em diferentes períodos,"1. Selecionar filtro ""Próximos 3 meses""",Apenas eventos nos próximos 90 dias exibidos,Positivo,Média,Média
DATAS-019,Datas,Filtros,Filtrar por Todos os próximos,Eventos futuros,"1. Selecionar filtro ""Todos os próximos""","Todos os eventos futuros exibidos, ordenados por data",Positivo,Média,Média
BDAY-001,Meu Aniversário,Criar,Criar evento de aniversário,Usuário logado sem evento de aniversário,"1. Acessar ""Meu Aniversário"" 2. Clicar ""Criar Evento"" 3. Selecionar data 4. Adicionar título e descrição 5. Salvar",Evento de aniversário criado. Página exibe wishlist e convidados,Positivo,Alta,Alta
BDAY-002,Meu Aniversário,Criar,Tentar criar segundo evento de aniversário,Usuário já tem evento de aniversário,"1. Acessar ""Meu Aniversário"" 2. Tentar criar novo evento",Sistema não permite. Exibe evento existente para edição,Negativo,Média,Média
BDAY-003,Meu Aniversário,Wishlist,Adicionar item à wishlist,Evento de aniversário existente,"1. Acessar aba ""Wishlist"" 2. Clicar ""Adicionar Item"" 3. Preencher nome do presente 4. Salvar",Item adicionado à wishlist,Positivo,Alta,Alta
BDAY-004,Meu Aniversário,Wishlist,Adicionar item com todos os campos,Evento existente,"1. Adicionar item com: nome, descrição, link, faixa de preço, prioridade",Todos os campos salvos corretamente,Positivo,Alta,Alta
BDAY-005,Meu Aniversário,Wishlist,Adicionar item sem nome,Evento existente,1. Tentar adicionar item com nome vazio,"Validação exibe ""Nome é obrigatório""",Negativo,Alta,Alta
BDAY-006,Meu Aniversário,Wishlist,Editar item da wishlist,Item existente na wishlist,1. Clicar editar no item 2. Alterar descrição 3. Salvar,Descrição atualizada,Positivo,Alta,Alta
BDAY-007,Meu Aniversário,Wishlist,Excluir item da wishlist,Item existente,1. Clicar excluir no item 2. Confirmar,Item removido da wishlist,Positivo,Alta,Alta
BDAY-008,Meu Aniversário,Wishlist,Reordenar itens por prioridade,Múltiplos itens na wishlist,1. Arrastar item para nova posição,Ordem atualizada e persistida,Positivo,Média,Média
BDAY-009,Meu Aniversário,Convidados,Convidar pessoa por email,Evento existente,"1. Acessar aba ""Convidados"" 2. Clicar ""Convidar"" 3. Preencher nome e email 4. Enviar","Convite enviado. Convidado aparece com status ""Pendente""",Positivo,Alta,Alta
BDAY-010,Meu Aniversário,Convidados,Convidar com email inválido,Evento existente,"1. Tentar convidar com email ""invalido""","Validação exibe ""E-mail inválido""",Negativo,Alta,Alta
BDAY-011,Meu Aniversário,Convidados,Convidar email já convidado,Convidado já existe,1. Tentar convidar mesmo email novamente,"Mensagem ""Este e-mail já foi convidado""",Negativo,Média,Média
BDAY-012,Meu Aniversário,Convidados,Remover convidado,Convidado existente,1. Clicar remover no convidado 2. Confirmar,Convidado removido da lista,Positivo,Média,Média
BDAY-013,Meu Aniversário,Convidados,Visualizar status do convite,Convites enviados,"1. Acessar aba ""Convidados""",Status de cada convite visível (Pendente/Visualizado/Confirmado),Positivo,Média,Média
BDAY-014,Meu Aniversário,Link Público,Gerar link público,Evento com wishlist,"1. Clicar ""Compartilhar Wishlist"" 2. Copiar link",Link gerado e copiado para clipboard,Positivo,Alta,Alta
BDAY-015,Meu Aniversário,Link Público,Acessar wishlist via link público,Link gerado,1. Abrir link em navegador anônimo,Wishlist exibida sem necessidade de login,Positivo,Alta,Alta
BDAY-016,Meu Aniversário,Link Público,Reservar presente via link público,Link acessado por visitante,"1. Acessar link público 2. Clicar ""Vou dar este presente"" em um item",Item marcado como reservado. Dono vê atualização em tempo real,Positivo,Alta,Alta
BDAY-017,Meu Aniversário,Link Público,Visualizar presentes já reservados,Wishlist com itens reservados,1. Acessar link público,Itens reservados aparecem com indicação visual,Positivo,Média,Média
COLAB-001,Eventos Colaborativos,Navegação,Acessar página Planeje seu rolê,Usuário logado,"1. Clicar em ""Planeje seu rolê"" no menu",Página carregada com opções dos 4 tipos de eventos,Positivo,Alta,Alta
COLAB-002,Eventos Colaborativos,Tipos,Visualizar tipos disponíveis,Usuário logado,"1. Acessar ""Planeje seu rolê""","Exibe 4 opções: Amigo Secreto, Eventos Temáticos, Presentes Coletivos, Viagens em Grupo",Positivo,Alta,Alta
COLAB-003,Eventos Colaborativos,Amigo Secreto,Criar evento Amigo Secreto,Usuário logado,"1. Acessar ""Planeje seu rolê"" 2. Selecionar ""Amigo Secreto"" 3. Preencher nome, data, valor sugerido 4. Salvar",Evento criado com página de gerenciamento,Positivo,Alta,Alta
COLAB-004,Eventos Colaborativos,Amigo Secreto,Adicionar participantes,Evento Amigo Secreto criado,"1. Acessar evento 2. Clicar ""Adicionar Participante"" 3. Preencher nome e email 4. Salvar","Participante adicionado com status ""Pendente""",Positivo,Alta,Alta
COLAB-005,Eventos Colaborativos,Amigo Secreto,Realizar sorteio,Mínimo 3 participantes confirmados,1. Acessar evento 2. Clicar botão de sorteio 3. Confirmar,Pares sorteados. Emails enviados para cada participante com seu par,Positivo,Crítica,Alta
COLAB-006,Eventos Colaborativos,Amigo Secreto,Sorteio com participantes insuficientes,Menos de 3 participantes,"1. Tentar realizar sorteio com 2 participantes","Mensagem ""Necessário mínimo de 3 participantes para o sorteio""",Negativo,Alta,Alta
COLAB-007,Eventos Colaborativos,Amigo Secreto,Visualizar par sorteado,Sorteio realizado,"1. Participante acessa evento ou link do email",Participante vê apenas seu próprio par (não vê outros),Positivo,Alta,Alta
COLAB-008,Eventos Colaborativos,Amigo Secreto,Enviar convites por email,Participantes adicionados,"1. Clicar ""Enviar Convites""",Emails enviados. Status de envio visível na lista de participantes,Positivo,Alta,Alta
COLAB-009,Eventos Colaborativos,Eventos Temáticos,Criar evento temático,Usuário logado,"1. Acessar ""Planeje seu rolê"" 2. Selecionar ""Eventos Temáticos"" 3. Preencher nome, tema, data 4. Salvar",Evento temático criado,Positivo,Alta,Alta
COLAB-010,Eventos Colaborativos,Eventos Temáticos,Selecionar subcategoria de tema,Criando evento temático,1. Selecionar tema principal 2. Escolher subcategoria,"Subcategorias dinâmicas exibidas baseadas no tema (ex: Festa Junina → decoração, comidas, músicas)",Positivo,Média,Média
COLAB-011,Eventos Colaborativos,Eventos Temáticos,Adicionar participantes,Evento temático criado,"1. Acessar evento 2. Adicionar participantes com responsabilidades",Participantes adicionados com suas atribuições,Positivo,Alta,Alta
COLAB-012,Eventos Colaborativos,Presentes Coletivos,Criar presente coletivo,Usuário logado,"1. Acessar ""Planeje seu rolê"" 2. Selecionar ""Presentes Coletivos"" 3. Preencher: destinatário, presente, valor total 4. Salvar",Evento de presente coletivo criado,Positivo,Alta,Alta
